"","area","SERIAL","PopGrowth","PopChange","Pop2015","category","money"
"1","Taipei City",1000,"-0.26%","-10,312","3,970,644","First",20000
"2","New Taipei City",1001,"-0.07%","-2,035","2,778,918","First",20000
"3","Keelung City",1002,"-0.27%","-717","270,366","First",20000
"4","Taoyuan City",1003,"0.36%","7750","2,140,392","First",30000
"5","Hsinchu County",1004,"-0.44%","-5,677","1,289,072","First",15000
"6","Hsinchu City",1005,"-0.45%","-3,816","841,253","First",15000
"7","Miaoli County",1006,"0.43%","2,347","542,042","First",6600
"8","Taichung City",1007,"0.52%","14,367","2,744,445","First",10000
"9","Changhua County",1008,"-0.75%","-4,229","563,912","First",30000
"10","Nantou County",1009,"-0.08%","-364","458,117","First",10000
"11","Yunlin County",1010,"-0.71%","-3,616","509,490","First",8000
"12","Chiayi County",1011,"-0.16%","-582","372,105","First",6000
"13","Chiayi City",1012,"-0.54%","-1,202","222,452","First",8000
"14","Tainan City",1013,"-0.01%","-181","1,885,541","First",6000
"15","Kaohsiung City",1014,"-0.35%","-9,386","2,704,810","First",6000
"16","Yilan County",1015,"-0.08%","-335","434,060","First",10000
"17","Hualien County",1016,"-0.26%","-864","331,945","First",10000
"18","Taitung County",1017,"3.34%","4,430","132,799","First",5000
"19","Pingtung County",1018,"-0.50%","-2,575","519,839","First",10000
"20","Kinmen County",1019,"-0.55%","-3,843","699,633","First",20000
"21","Penghu County",1020,"0.56%","573","102,304","First",30000
"22","Lienchiang County",1021,"-0.56%","-70","12,547","First",20000
"23","Taipei City",1000,"-0.26%","-10,312","3,970,644","Second",20000
"24","New Taipei City",1001,"-0.07%","-2,035","2,778,918","Second",20000
"25","Keelung City",1002,"-0.27%","-717","270,366","Second",20000
"26","Taoyuan City",1003,"0.36%","7750","2,140,392","Second",30000
"27","Hsinchu County",1004,"-0.44%","-5,677","1,289,072","Second",20000
"28","Hsinchu City",1005,"-0.45%","-3,816","841,253","Second",20000
"29","Miaoli County",1006,"0.43%","2,347","542,042","Second",6600
"30","Taichung City",1007,"0.52%","14,367","2,744,445","Second",10000
"31","Changhua County",1008,"-0.75%","-4,229","563,912","Second",30000
"32","Nantou County",1009,"-0.08%","-364","458,117","Second",15000
"33","Yunlin County",1010,"-0.71%","-3,616","509,490","Second",8000
"34","Chiayi County",1011,"-0.16%","-582","372,105","Second",6000
"35","Chiayi City",1012,"-0.54%","-1,202","222,452","Second",8000
"36","Tainan City",1013,"-0.01%","-181","1,885,541","Second",12000
"37","Kaohsiung City",1014,"-0.35%","-9,386","2,704,810","Second",6000
"38","Yilan County",1015,"-0.08%","-335","434,060","Second",10000
"39","Hualien County",1016,"-0.26%","-864","331,945","Second",10000
"40","Taitung County",1017,"3.34%","4,430","132,799","Second",5000
"41","Pingtung County",1018,"-0.50%","-2,575","519,839","Second",10000
"42","Kinmen County",1019,"-0.55%","-3,843","699,633","Second",20000
"43","Penghu County",1020,"0.56%","573","102,304","Second",50000
"44","Lienchiang County",1021,"-0.56%","-70","12,547","Second",50000
"45","Taipei City",1000,"-0.26%","-10,312","3,970,644","Third",20000
"46","New Taipei City",1001,"-0.07%","-2,035","2,778,918","Third",20000
"47","Keelung City",1002,"-0.27%","-717","270,366","Third",20000
"48","Taoyuan City",1003,"0.36%","7750","2,140,392","Third",30000
"49","Hsinchu County",1004,"-0.44%","-5,677","1,289,072","Third",25000
"50","Hsinchu City",1005,"-0.45%","-3,816","841,253","Third",25000
"51","Miaoli County",1006,"0.43%","2,347","542,042","Third",6600
"52","Taichung City",1007,"0.52%","14,367","2,744,445","Third",10000
"53","Changhua County",1008,"-0.75%","-4,229","563,912","Third",30000
"54","Nantou County",1009,"-0.08%","-364","458,117","Third",20000
"55","Yunlin County",1010,"-0.71%","-3,616","509,490","Third",8000
"56","Chiayi County",1011,"-0.16%","-582","372,105","Third",6000
"57","Chiayi City",1012,"-0.54%","-1,202","222,452","Third",8000
"58","Tainan City",1013,"-0.01%","-181","1,885,541","Third",12000
"59","Kaohsiung City",1014,"-0.35%","-9,386","2,704,810","Third",46000
"60","Yilan County",1015,"-0.08%","-335","434,060","Third",10000
"61","Hualien County",1016,"-0.26%","-864","331,945","Third",10000
"62","Taitung County",1017,"3.34%","4,430","132,799","Third",5000
"63","Pingtung County",1018,"-0.50%","-2,575","519,839","Third",10000
"64","Kinmen County",1019,"-0.55%","-3,843","699,633","Third",20000
"65","Penghu County",1020,"0.56%","573","102,304","Third",70000
"66","Lienchiang County",1021,"-0.56%","-70","12,547","Third",80000
