Area,First,Second,Third,SERIAL,PopGrowth,PopChange,Pop2015
Taipei City,20000,20000,20000,1000,-0.26%,"-10,312","3,970,644"
New Taipei City,20000,20000,20000,1001,-0.07%,"-2,035","2,778,918"
Keelung City,20000,20000,20000,1002,-0.27%,-717,"270,366"
Taoyuan City,30000,30000,30000,1003,0.36%,7750,"2,140,392"
Hsinchu County,15000,20000,25000,1004,-0.44%,"-5,677","1,289,072"
Hsinchu City,15000,20000,25000,1005,-0.45%,"-3,816","841,253"
Miaoli County,6600,6600,6600,1006,0.43%,"2,347","542,042"
Taichung City,10000,10000,10000,1007,0.52%,"14,367","2,744,445"
Changhua County,30000,30000,30000,1008,-0.75%,"-4,229","563,912"
Nantou County,10000,15000,20000,1009,-0.08%,-364,"458,117"
Yunlin County,8000,8000,8000,1010,-0.71%,"-3,616","509,490"
Chiayi County,6000,6000,6000,1011,-0.16%,-582,"372,105"
Chiayi City,8000,8000,8000,1012,-0.54%,"-1,202","222,452"
Tainan City,6000,12000,12000,1013,-0.01%,-181,"1,885,541"
Kaohsiung City,6000,6000,46000,1014,-0.35%,"-9,386","2,704,810"
Yilan County,10000,10000,10000,1015,-0.08%,-335,"434,060"
Hualien County,10000,10000,10000,1016,-0.26%,-864,"331,945"
Taitung County,5000,5000,5000,1017,3.34%,"4,430","132,799"
Pingtung County,10000,10000,10000,1018,-0.50%,"-2,575","519,839"
Kinmen County,20000,20000,20000,1019,-0.55%,"-3,843","699,633"
Penghu County,30000,50000,70000,1020,0.56%,573,"102,304"
Lienchiang County,20000,50000,80000,1021,-0.56%,-70,"12,547"
