,area,SERIAL,category,value,description
1,Taipei City,1000,Child Birth Benefits (First Child) (NT$),20000,
2,New Taipei City,1001,Child Birth Benefits (First Child) (NT$),20000,
3,Keelung City,1002,Child Birth Benefits (First Child) (NT$),20000,
4,Taoyuan City,1003,Child Birth Benefits (First Child) (NT$),30000,
5,Hsinchu County,1004,Child Birth Benefits (First Child) (NT$),15000,
6,Hsinchu City,1005,Child Birth Benefits (First Child) (NT$),15000,
7,Miaoli County,1006,Child Birth Benefits (First Child) (NT$),6600,
8,Taichung City,1007,Child Birth Benefits (First Child) (NT$),10000,
9,Changhua County,1008,Child Birth Benefits (First Child) (NT$),30000,
10,Nantou County,1009,Child Birth Benefits (First Child) (NT$),10000,
11,Yunlin County,1010,Child Birth Benefits (First Child) (NT$),8000,
12,Chiayi County,1011,Child Birth Benefits (First Child) (NT$),6000,
13,Chiayi City,1012,Child Birth Benefits (First Child) (NT$),8000,
14,Tainan City,1013,Child Birth Benefits (First Child) (NT$),6000,
15,Kaohsiung City,1014,Child Birth Benefits (First Child) (NT$),6000,
16,Yilan County,1015,Child Birth Benefits (First Child) (NT$),10000,
17,Hualien County,1016,Child Birth Benefits (First Child) (NT$),10000,
18,Taitung County,1017,Child Birth Benefits (First Child) (NT$),5000,
19,Pingtung County,1018,Child Birth Benefits (First Child) (NT$),10000,
20,Kinmen County,1019,Child Birth Benefits (First Child) (NT$),20000,
21,Penghu County,1020,Child Birth Benefits (First Child) (NT$),30000,
22,Lienchiang County,1021,Child Birth Benefits (First Child) (NT$),20000,
23,Taipei City,1000,Child Benefits (Caretaker) (NT$),8000,"*Federal Benefits: 3000, Local Benefits: 5000"
24,New Taipei City,1001,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
25,Keelung City,1002,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
26,Taoyuan City,1003,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
27,Hsinchu County,1004,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
28,Hsinchu City,1005,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
29,Miaoli County,1006,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
30,Taichung City,1007,Child Benefits (Caretaker) (NT$),6000,"*Federal Benefits: 3000, Local Benefits: 3000"
31,Changhua County,1008,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
32,Nantou County,1009,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
33,Yunlin County,1010,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
34,Chiayi County,1011,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
35,Chiayi City,1012,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
36,Tainan City,1013,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
37,Kaohsiung City,1014,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
38,Yilan County,1015,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
39,Hualien County,1016,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
40,Taitung County,1017,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
41,Pingtung County,1018,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
42,Kinmen County,1019,Child Benefits (Caretaker) (NT$),3000,*Federal Benefits: 3000
