,area,SERIAL,category,value,description
1,Taipei City,1000,Child Birth Benefits (First Child) (NT$),20000,
2,New Taipei City,1001,Child Birth Benefits (First Child) (NT$),20000,
3,Keelung City,1002,Child Birth Benefits (First Child) (NT$),20000,
4,Taoyuan City,1003,Child Birth Benefits (First Child) (NT$),30000,
5,Hsinchu County,1004,Child Birth Benefits (First Child) (NT$),15000,
6,Hsinchu City,1005,Child Birth Benefits (First Child) (NT$),15000,
7,Miaoli County,1006,Child Birth Benefits (First Child) (NT$),6600,
8,Taichung City,1007,Child Birth Benefits (First Child) (NT$),10000,
9,Changhua County,1008,Child Birth Benefits (First Child) (NT$),30000,
10,Nantou County,1009,Child Birth Benefits (First Child) (NT$),10000,
11,Yunlin County,1010,Child Birth Benefits (First Child) (NT$),8000,
12,Chiayi County,1011,Child Birth Benefits (First Child) (NT$),6000,
13,Chiayi City,1012,Child Birth Benefits (First Child) (NT$),8000,
14,Tainan City,1013,Child Birth Benefits (First Child) (NT$),6000,
15,Kaohsiung City,1014,Child Birth Benefits (First Child) (NT$),6000,
16,Yilan County,1015,Child Birth Benefits (First Child) (NT$),10000,
17,Hualien County,1016,Child Birth Benefits (First Child) (NT$),10000,
18,Taitung County,1017,Child Birth Benefits (First Child) (NT$),5000,
19,Pingtung County,1018,Child Birth Benefits (First Child) (NT$),10000,
20,Kinmen County,1019,Child Birth Benefits (First Child) (NT$),20000,
21,Penghu County,1020,Child Birth Benefits (First Child) (NT$),30000,
22,Lienchiang County,1021,Child Birth Benefits (First Child) (NT$),20000,
23,Taipei City,1000,Child Birth Benefits (First Child) (NT$),13629,
24,New Taipei City,1001,Child.Birth.Benefits..Second.Child..NT.,17986,
25,Keelung City,1002,Child.Birth.Benefits..Second.Child..NT.,19545,
26,Taoyuan City,1003,Child.Birth.Benefits..Second.Child..NT.,24024,
27,Hsinchu County,1004,Child.Birth.Benefits..Second.Child..NT.,12060,
28,Hsinchu City,1005,Child.Birth.Benefits..Second.Child..NT.,10691,
29,Miaoli County,1006,Child.Birth.Benefits..Second.Child..NT.,6493,
30,Taichung City,1007,Child.Birth.Benefits..Second.Child..NT.,8471,
31,Changhua County,1008,Child.Birth.Benefits..Second.Child..NT.,31660,
32,Nantou County,1009,Child.Birth.Benefits..Second.Child..NT.,11174,
33,Yunlin County,1010,Child.Birth.Benefits..Second.Child..NT.,9039,
34,Chiayi County,1011,Child.Birth.Benefits..Second.Child..NT.,6742,
35,Chiayi City,1012,Child.Birth.Benefits..Second.Child..NT.,7319,
36,Tainan City,1013,Child.Birth.Benefits..Second.Child..NT.,5966,
37,Kaohsiung City,1014,Child.Birth.Benefits..Second.Child..NT.,5240,
38,Yilan County,1015,Child.Birth.Benefits..Second.Child..NT.,8446,
39,Hualien County,1016,Child.Birth.Benefits..Second.Child..NT.,10273,
40,Taitung County,1017,Child.Birth.Benefits..Second.Child..NT.,6393,
41,Pingtung County,1018,Child.Birth.Benefits..Second.Child..NT.,11578,
42,Kinmen County,1019,Child.Birth.Benefits..Second.Child..NT.,18953,
43,Penghu County,1020,Child.Birth.Benefits..Second.Child..NT.,38744,
44,Lienchiang County,1021,Child.Birth.Benefits..Second.Child..NT.,20000,
45,Taipei City,1000,Child.Benefits..Caretaker..NT.,8000,
46,New Taipei City,1001,Child.Benefits..Caretaker..NT.,3000,
47,Keelung City,1002,Child.Benefits..Caretaker..NT.,3000,
